label,precision,recall,f1-score,support
Account,0.22767857142857142,0.15088757396449703,0.18149466192170818,338.0
Billing,0.40404040404040403,0.6518518518518519,0.4988662131519274,675.0
General Query,0.2,0.11314984709480122,0.14453125,327.0
Technical Issue,0.25654450261780104,0.14040114613180515,0.1814814814814815,349.0
accuracy,0.34162226169330967,0.34162226169330967,0.34162226169330967,0.34162226169330967
macro avg,0.27206586952169415,0.26407260476073885,0.2515934016387793,1689.0
weighted avg,0.29876652533081255,0.34162226169330967,0.3011714892801216,1689.0
