label,precision,recall,f1-score,support
High,0.48567870485678705,0.4642857142857143,0.47474132684114423,840.0
Low,0.2400793650793651,0.2936893203883495,0.26419213973799127,412.0
Medium,0.2879581151832461,0.2517162471395881,0.2686202686202686,437.0
accuracy,0.36767317939609234,0.36767317939609234,0.36767317939609234,0.36767317939609234
macro avg,0.3379053950397994,0.3365637606045506,0.3358512450664681,1689.0
weighted avg,0.3746124966414909,0.36767317939609234,0.37005147040004205,1689.0
