Date,ForecastedSales
2024-01-01,2759.0123391935726
2024-01-02,2522.329544698923
2024-01-03,2550.108736326465
2024-01-04,2410.832058040668
2024-01-05,2245.7068008286897
2024-01-06,2149.788358791011
2024-01-07,2156.988062890708
2024-01-08,2324.456954319722
2024-01-09,2492.8108402389926
2024-01-10,2513.727230935487
2024-01-11,2395.678327287424
2024-01-12,2218.232393752563
2024-01-13,2129.0807257903352
2024-01-14,2132.334033971202
2024-01-15,2305.564116907834
2024-01-16,2461.6544281123015
2024-01-17,2478.375336464343
2024-01-18,2362.1676790202264
2024-01-19,2189.6054714230195
2024-01-20,2100.9571407667413
2024-01-21,2112.0866231902814
2024-01-22,2276.1122375840455
2024-01-23,2431.57538936931
2024-01-24,2457.2642405287306
2024-01-25,2334.215841426528
2024-01-26,2158.227014312395
2024-01-27,2065.8457334868613
2024-01-28,2086.7986114879795
2024-01-29,2230.622060680877
2024-01-30,2387.8377091347265
